tag,raw_text,tokens,ch_count
None-of-the-above,enaku unmaikum aluha wantu thirunangaigal theiwangal 😢😢😢,"['enaku', 'unmaikum', 'aluha', 'wantu', 'thirunangaigal', 'theiwangal']",6
Transphobic,SUPERSTAR VIJAY dai arivuketta polu ithu thappu pavam Da Amanda na gay relationship virukkuren  ethirkkiren,"['superstar', 'vijay', 'dai', 'arivuketta', 'polu', 'ithu', 'thappu', 'pavam', 'da', 'amanda', 'na', 'gay', 'relationship', 'virukkuren', 'ethirkkiren']",15
None-of-the-above,Ugka smile cute a iruku😊😊...,"['ugka', 'smile', 'cute', 'a', 'iruku', '......']",6
None-of-the-above,Anna i am waiting na 🥰🥰🥰,"['anna', 'i', 'am', 'waiting', 'na']",5
None-of-the-above,Yanda tamilnadu la evvalavo pirachana iruku athalam vittudu ethu oru pirachana vanthu kettu iruka,"['yanda', 'tamilnadu', 'la', 'evvalavo', 'pirachana', 'iruku', 'athalam', 'vittudu', 'ethu', 'oru', 'pirachana', 'vanthu', 'kettu', 'iruka']",14
Transphobic,Night fulla mater ku alaiuradhu day fulla pichaiku alaiuradhu idhula louds paaru potta p___a...,"['night', 'fulla', 'mater', 'ku', 'alaiuradhu', 'day', 'fulla', 'pichaiku', 'alaiuradhu', 'idhula', 'louds', 'paaru', 'potta', 'p', '_', '_', '_', 'a', '......']",19
None-of-the-above,l v  innum konja varshathula yaaru agadhi aah sutha poradhunu therium thozhar..😂,"['l', 'v', 'innum', 'konja', 'varshathula', 'yaaru', 'agadhi', 'aah', 'sutha', 'poradhunu', 'therium', 'thozhar', '......']",13
None-of-the-above,Bala kumar  wat ur asking.? 1st  olunga kealviya kealunga.,"['bala', 'kumar', 'wat', 'ur', 'asking', '.', '?', '1st', 'olunga', 'kealviya', 'kealunga', '.']",12
None-of-the-above,Unaku aids vandhuruchi pola olunga iru...,"['unaku', 'aids', 'vandhuruchi', 'pola', 'olunga', 'iru', '......']",7
Counter-speech,pradeep  kodi per iruka maataanga nu nenaikireengala? Ellaarum Ungala maadri aaluku bayandhutu open aa solla maatraanga. India la 130 crore la 30 crore LGBT thaan.. Aana adha open aa ellaarkitayum solradhu enna maadri konjam per thaan..,"['pradeep', 'kodi', 'per', 'iruka', 'maataanga', 'nu', 'nenaikireengala', '?', 'ellaarum', 'ungala', 'maadri', 'aaluku', 'bayandhutu', 'open', 'aa', 'solla', 'maatraanga', '.', 'india', 'la', '130', 'crore', 'la', '30', 'crore', 'lgbt', 'thaan', '......', 'aana', 'adha', 'open', 'aa', 'ellaarkitayum', 'solradhu', 'enna', 'maadri', 'konjam', 'per', 'thaan', '......']",40
Misandry,yena public la pesa pudikalaya..dei arivu ellathavane!! athunaala thana epdi comments ta pesitu ne eruka..epo veliya vaaya thorantha yellarum unnaiya serupala adipanga..bayanthagoli,"['yena', 'public', 'la', 'pesa', 'pudikalaya', '......', 'dei', 'arivu', 'ellathavane', '!', '!', 'athunaala', 'thana', 'epdi', 'comments', 'ta', 'pesitu', 'ne', 'eruka', '......', 'epo', 'veliya', 'vaaya', 'thorantha', 'yellarum', 'unnaiya', 'serupala', 'adipanga', '......', 'bayanthagoli']",30
None-of-the-above,H.Raja neenga peasunga . ivangaluku unagala pathi theriyal ya,"['h', '.', 'raja', 'neenga', 'peasunga', '.', 'ivangaluku', 'unagala', 'pathi', 'theriyal', 'ya']",11
Homophobia,5:15 antha paiyyan straight! girl friend iruku! avan gay illai! avana prank pannala! ithuku peru harrasment! it's ver bad! totally disgusting!!!!,"['5', ':', '15', 'antha', 'paiyyan', 'straight', '!', 'girl', 'friend', 'iruku', '!', 'avan', 'gay', 'illai', '!', 'avana', 'prank', 'pannala', '!', 'ithuku', 'peru', 'harrasment', '!', 'it', ""'"", 's', 'ver', 'bad', '!', 'totally', 'disgusting', '!', '!', '!', '!']",35
None-of-the-above,sivaprakasam selvi  meenu kutty 😂😂,"['sivaprakasam', 'selvi', 'meenu', 'kutty']",4
None-of-the-above,Bro 64 aaya kalaigal pathi solluga,"['bro', '64', 'aaya', 'kalaigal', 'pathi', 'solluga']",6
Misandry,Poda potta punda dhevudiya makane,"['poda', 'potta', 'punda', 'dhevudiya', 'makane']",5
None-of-the-above,Rumba kastma iruku.....oru public places poga mudiyala,"['rumba', 'kastma', 'iruku', '......', 'oru', 'public', 'places', 'poga', 'mudiyala']",9
None-of-the-above,All i can say is WOW.....................,"['all', 'i', 'can', 'say', 'is', 'wow', '......']",7
Counter-speech,Manickam Anbu  ammaavai pathi pesurathu sari kidaiyaathu.,"['manickam', 'anbu', 'ammaavai', 'pathi', 'pesurathu', 'sari', 'kidaiyaathu', '.']",8
